question_id,method,hop_count,hop_prefix,question,answer,gold_answer,em,f1,hit_at_k,recall_at_k,all_recall_at_k,mrr,precision_at_k,ndcg_at_k,contexts
2hop__358582_189042,No-RAG,2,2hop,What is the record label of the Thrill of a Lifetime performer?,I don't know.,New Renaissance Records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__655505_110949,No-RAG,2,2hop,What is the Till dom ensamma performer's birth date?,I don't know.,11 September 1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__61664_786853,No-RAG,2,2hop,Who is the spouse of the voice actor of Batman in The Lego Batman Movie?,I don't know.,Amy Poehler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__61924_712629,No-RAG,2,2hop,Who is the spouse of the current queen of England?,"Prince Philip, Duke of Edinburgh (deceased) / Prince Consort Charles",Philip Mountbatten,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__34734_92852,No-RAG,2,2hop,When did the U.S. stop trading with the country that started hostilities?,I don't know.,1940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__89657_289940,No-RAG,2,2hop,What team's player had the most league sacks?,I don't know.,New England Patriots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__402530_774333,No-RAG,2,2hop,What other county does the county where Imperial is located share a border with?,San Bernardino County,Crockett County,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__678516_179720,No-RAG,2,2hop,Who was married to the creator of Ruby Loftus Screwing a Breech Ring?,I don't know.,Harold Knight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__547045_131879,No-RAG,2,2hop,What body of water is by the headquarters location of Wipac?,I don't know.,River Great Ouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__72487_510545,No-RAG,2,2hop,Who is the spouse of the actor that plays vision in avengers age of ultron?,I don't know.,Jennifer Connelly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__696442_51329,No-RAG,2,2hop,What movie did Lauren Bacall's spouse win his only Oscar?,High Noon,The African Queen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__156658_155922,No-RAG,2,2hop,What body of water does the river that Toongabbie Creek flows into flow into?,I don't know.,Sydney Harbour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__6750_6733,No-RAG,2,2hop,To what division of languages does one with an innovative form belong?,Innovative forms belong to the dynamic or creative division of languages.,Eastern block,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__28203_55840,No-RAG,2,2hop,Who played king whose regal Name did Albert Adopt in the king's speech?,I don't know.,Colin Firth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__468778_88165,No-RAG,2,2hop,Who did the spouse of Hagar marry after the death of Sarah?,I don't know.,Keturah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__142621_225454,No-RAG,2,2hop,What is the record label of the co-writer and recording artist of Permission to Fly?,I don't know.,Hollywood Records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__491195_265959,No-RAG,2,2hop,Who is the mother of the composer of Jag tror på sommaren?,I don't know.,Lena Olin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__442175_56873,No-RAG,2,2hop,When did the team that Jamie Ward is a member of win the FA Cup?,I don't know.,1898 and 1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__15416_58040,No-RAG,2,2hop,What is the highest city in the state where Dell ranks sixth by revenue?,I don't know.,Fort Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__147260_623159,No-RAG,2,2hop,What territorial entity does the town where John the Hairy lived belong to?,I don't know.,Yaroslavl Oblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__865961_159109,No-RAG,2,2hop,Where is the country with ISO code ISO 3166-2:CV located?,Cape Verde,central Atlantic Ocean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__25788_25839,No-RAG,2,2hop,What is the maximum load drawn by the device that was designed to standardize connection of computer peripherals?,USB 3.0,five unit loads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__1667_40501,No-RAG,2,2hop,How many refugees emigrated to the nation that founded New Amsterdam?,I don't know.,"75,000 to 100,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__203985_524737,No-RAG,2,2hop,In what league did Jose Miranda's team compete?,I don't know.,United Soccer League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__73069_88165,No-RAG,2,2hop,Who did the person considered the founder of three major monotheistic religions marry after the death of Sarah?,I don't know.,Keturah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__153573_109006,No-RAG,2,2hop,Who developed the eponymous character from the series that contains Mickey's Safari in Letterland?,I don't know.,Walt Disney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__133116_533882,No-RAG,2,2hop,What company resulted from a merger in 1961 involving the builder of the Martin BM?,Martin-Marietta,Martin Marietta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__142130_67668,No-RAG,2,2hop,Who does the Nothing Suits Me Like a Suit artist play in Batman Under the Red Hood?,Red Hood,Nightwing / Dick Grayson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__226204_69048,No-RAG,2,2hop,Who is the chief judge of Friday Osanebi's birthplace?,I don't know.,Honorable Justice Abiodun Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__89632_40480,No-RAG,2,2hop,Where did Huguenot nobility settle in the state where the Patriot was filmed?,I don't know.,Charleston Orange district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__507528_139339,No-RAG,2,2hop,What was the director of Lisa Picard is Famous nominated for?,I don't know.,Academy Award for Best Live Action Short Film,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__401710_456439,No-RAG,2,2hop,Who is the spouse of the producer of Dolores Claiborne?,I don't know.,Helen Mirren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__115515_779396,No-RAG,2,2hop,Where was the creator of the Lap Engine educated?,I don't know.,University of Glasgow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__596188_297986,No-RAG,2,2hop,What administrative territorial entity contains the place where Mycenae House is located?,Peloponnese,Royal Borough of Greenwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__31085_23241,No-RAG,2,2hop,"According to Pew, in 2010 what percent of Nigeria's population was the same religion as Ibn Tufail?",I don't know.,48.8 percent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__551235_310309,No-RAG,2,2hop,Who is the child of the creator of A Distinguished Member of the Humane Society?,I don't know.,Edwin Landseer Lutyens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__433694_20273,No-RAG,2,2hop,In what year did Margaret Knox's spouse pass away?,I don't know.,1572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__20268_42014,No-RAG,2,2hop,How many members in the seats of the organization that enacted the Directory of Public Worship into law are members of the Scottish Government?,I don't know.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__216256_141338,No-RAG,2,2hop,What company is the school where Ernest G. McClain is employed a part of?,I don't know.,City University of New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__29349_92763,No-RAG,2,2hop,What is the enrollment where the first debate between Kerry and Bush took place?,University of Texas at Austin,"16,801",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__770487_494646,No-RAG,2,2hop,What administrative territorial entity contains the headquarters of the Mono Lake Committee?,California,Mono County,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__121386_37168,No-RAG,2,2hop,"According to QS World University Rankings, where does the college that Ibrahim Shihata attended rank?",I don't know.,551-600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__55552_158105,No-RAG,2,2hop,What two features of Windows 98 were highlighted by the man who announced Windows in 1983?,I don't know.,ease of use and enhanced support for Plug and Play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__388467_110882,No-RAG,2,2hop,What is the birth date of the By Your Side performer?,I don't know.,1 January 1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__16581_16525,No-RAG,2,2hop,When did the person who first brought a postal service into Umayyad lands become caliph?,I don't know.,661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__7855_7794,No-RAG,2,2hop,What is the population in 2010 of they city popular with tourists?,I don't know.,8.005 million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__271045_68633,No-RAG,2,2hop,Who is the president of the organization Julio Maglione is located?,I don't know.,Thomas Bach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__543050_245420,No-RAG,2,2hop,Which city shares border with the area having Bella Vista High School?,I don't know.,Citrus Heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__267938_92763,No-RAG,2,2hop,What is the enrollment at Jack Clay's employer?,I don't know.,"16,801",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__731584_700117,No-RAG,2,2hop,In which county is the city to which KKVU is licensed to broadcast?,I don't know.,Berrien County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__85325_88165,No-RAG,2,2hop,Who did the person who married their half sister in the bible marry after the death of sarah?,Abraham married Ketura.,Keturah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__818692_113442,No-RAG,2,2hop,What date did the creator of Autumn Leaves die?,I don't know.,13 August 1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__132954_533882,No-RAG,2,2hop,What company was formed after a merger of the company that built ASM-N-5 Gorgon V?,I don't know.,Martin Marietta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__608902_653666,No-RAG,2,2hop,Who is the mother of Katharine Smith Salisbury's brother?,I don't know.,Lucy Mack Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__520033_123956,No-RAG,2,2hop,On what date did Battle of the birth place of Denny Januar Ali end?,I don't know.,15 February 1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__135651_669373,No-RAG,2,2hop,Which university employed the person that Mach bands are named after?,I don't know.,Charles University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__157498_127908,No-RAG,2,2hop,What league does the team that uses Dick's Sporting Goods Park play for?,MLS,Major League Soccer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__81825_49084,No-RAG,2,2hop,Who plays the character that took the sword out of the stone in once upon a time?,Matt Smith,Liam Thomas Garrigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__52283_75184,No-RAG,2,2hop,Who play's Marty's girlfriend in back to the future?,Christine Fisher,Claudia Wells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__814856_110882,No-RAG,2,2hop,What is the Smile performer's birthday?,I don't know.,1 January 1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__62823_654855,No-RAG,2,2hop,"What political party was the candidate who garnered a million votes during the 1920 election despite being in prison, a member of?",I don't know.,Socialist Party of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__73615_16848,No-RAG,2,2hop,What happened to the assets of the agency that abolished the dual system of government in bengal after it was removed from power?,I don't know.,formally incorporated into the British Empire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__9_59409,No-RAG,2,2hop,Who was the artist which Beyonce did marry talking about in song cry?,Jay-Z,three different relationships he had in the past,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__96411_47902,No-RAG,2,2hop,Who plays the main character of The Bourne Deception?,Matt Damon,Matt Damon,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__16844_42173,No-RAG,2,2hop,When was the ruler that was dissolved after the Indian Rebellion of 1857 established?,I don't know.,1599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__510860_22402,No-RAG,2,2hop,How many students attend the school that employs Roberto Andorno?,I don't know.,"nearly 25,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__93230_319887,No-RAG,2,2hop,What institute did the actor playing the voice of John Smith in Pocahontas attend?,I don't know.,National Institute of Dramatic Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__538412_126089,No-RAG,2,2hop,Who was in charge of the province where Schermer is located?,I don't know.,Johan Remkes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__598467_68489,No-RAG,2,2hop,Who did the performer from Night Rocker play on Young and Restless?,I don't know.,Snapper Foster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__156702_51769,No-RAG,2,2hop,What is the life expectancy of the type of retriever named after the body of water the Patuxent River turns into?,I don't know.,average lifespan at 9.4 years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__367336_97805,No-RAG,2,2hop,Which war did the operator of the Finnish coastal defence ship Ilmarinen serve in?,Winter War,Winter War,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__418360_67370,No-RAG,2,2hop,When does real time with the author of The New New Rules start again in 2018,I don't know.,"January 19, 2018",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__44259_747874,No-RAG,2,2hop,Who is the sibling of the player who won the 2012 U.S. Open Men's Singles final?,I don't know.,Jamie Murray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__158247_71142,No-RAG,2,2hop,Who led the muslim forces to retake the proposed embassy destination?,I don't know.,Abu Ubaidah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__95687_577502,No-RAG,2,2hop,Who is the spouse of the leading actor in the film The 6th Day?,I don't know.,Maria Shriver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__81268_85407,No-RAG,2,2hop,What was the 2018 population of the Italian city that's underwater?,I don't know.,"260,897",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__71016_75184,No-RAG,2,2hop,Who played the girlfriend of who plays marty mcfly's daughter in back to the future 2?,I don't know.,Claudia Wells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__263638_69048,No-RAG,2,2hop,Who is the Chief Judge of the Tebesa Nemine's birthplace?,I don't know.,Honorable Justice Abiodun Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__76402_653666,No-RAG,2,2hop,Who is the mother of the founder of Mormonism?,Martha Brotherson,Lucy Mack Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__500379_126537,No-RAG,2,2hop,When did Burroughs Corporation merge to form a new corporation?,I don't know.,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__739909_807845,No-RAG,2,2hop,What publisher was formed from the owner of the The Daily News?,I don't know.,Digital First Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__67956_463572,No-RAG,2,2hop,What record label does the artist who sang you belong to me belong to?,I don't know.,MGM Records,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__861157_135481,No-RAG,2,2hop,What is the competition the 1972 Federation Cup is part of named after?,Billie Jean King,International Tennis Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__39063_593388,No-RAG,2,2hop,"Who is the father of the person who came up with the concept of the ""new"" police?",I don't know.,"Sir Robert Peel, 1st Baronet",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__30905_189318,No-RAG,2,2hop,Where did the person who sponsored the resolution to reopen trade with Vietnam along with Kerry go to college?,I don't know.,National War College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__39954_80940,No-RAG,2,2hop,What is the largest national park in the country where hunters are estimated to spend fifty to one hundred times that of the average ecotourist?,I don't know.,Ruaha National Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__29191_59955,No-RAG,2,2hop,What country is between Lithuania and Frederic Chopin's home country?,Poland,Kaliningrad Oblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__822965_165304,No-RAG,2,2hop,Who is the child of the actor who is a cast member of Love in Pawn?,I don't know.,Kim Braden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__389778_78303,No-RAG,2,2hop,"What was the cast member of Missing in Action's name in Walker, Texas Ranger?",Sgt. Mike Murphy,Cordell Walker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__108336_772156,No-RAG,2,2hop,Where did the creator of the Allegory of Isabella d'Este's Coronation die?,I don't know.,Mantua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__30390_36634,No-RAG,2,2hop,How many groups were involved in the war when Hayek started working on Abuse of Reason?,I don't know.,two alliances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__63002_461854,No-RAG,2,2hop,Who is the spouse of the actress who plays Scarlett in Gone With the Wind?,I don't know.,Laurence Olivier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__223823_29898,No-RAG,2,2hop,Which affiliate left the owner of Canadian Broadcasting Centre due to an agreement with CHBC?,I don't know.,CFJC-TV in Kamloops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__157251_556157,No-RAG,2,2hop,What river does the system containing Umchabezi River serve as the mouth of?,I don't know.,Limpopo River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__814671_82341,No-RAG,2,2hop,In what region of Florida is WMOP located?,Orlando,in Northern Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__554167_451128,No-RAG,2,2hop,Who is the child of the Victim of Romance performer?,I don't know.,Chynna Phillips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__91211_90973,No-RAG,2,2hop,Who did the original voice of the character played by mila kunis in the cleveland show?,Mila Kunis herself voiced the character Pam Fisher.,Lacey Chabert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__1667_40502,No-RAG,2,2hop,What was the population of the founder of New Amsterdam before influx of Huguenot refugees?,I don't know.,2 million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__82766_67668,No-RAG,2,2hop,The actor playing Barney in How I Met Your Mother played who in Batman Under The Red Hood?,Chris Klein played Red Hood in Batman Under the Red Hood.,Nightwing / Dick Grayson,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__215124_83837,No-RAG,2,2hop,Who sings Home Alone Tonight with the Rain is a Good Thing singer?,I don't know.,Karen Fairchild,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__82669_768138,No-RAG,2,2hop,Who is the brother of the Melissa and Joey Theme Song singer?,I don't know.,Matthew Lawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__63214_319330,No-RAG,2,2hop,Who is the child of the president under whom prohibition occurred?,I don't know.,Jessie Woodrow Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__207476_625987,No-RAG,2,2hop,"Who is the grandmother of Philippe, Duke of Orléans?",Marie Adélaïde of Saxe-Lauenburg,Marie de' Medici,0.0,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__35989_623159,No-RAG,2,2hop,In what oblast is the oldest city in the northeast located?,Donetsk Oblast,Yaroslavl Oblast,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__59612_50883,No-RAG,2,2hop,The London broil cut comes from a country with an emergency response guidebook with response guides in which section?,I don't know.,"The fourth section, with orange page borders",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__613779_55984,No-RAG,2,2hop,"Who wrote the song ""The Story"" that is sung by the performer of ""That Wasn't Me""?",I don't know.,Phil Hanseroth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__65576_80026,No-RAG,2,2hop,Who played the spoilt character in Charlie and the Chocolate Factory?,Wilbur Waterson,Julie Dawn Cole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__135822_46621,No-RAG,2,2hop,When was the star to which Solgränd is named after discovered to be the center of the solar system?,I don't know.,as early as the 3rd century BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__92590_43786,No-RAG,2,2hop,Where is the newspaper that originated the term Baby Boomer based?,The New York Sun,"Washington, D.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__147212_60904,No-RAG,2,2hop,Who owns the rehabilitation center at the place where Hank Moonjean died?,I don't know.,Jack Michel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__385392_756039,No-RAG,2,2hop,What administrative territorial entity includes the place that KTRP is licensed to broadcast to?,I don't know.,Canyon County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__435184_67370,No-RAG,2,2hop,When does real time with the pizza man cast member start again in 2018?,I don't know.,"January 19, 2018",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__104095_40501,No-RAG,2,2hop,How many refugees emigrated to the country that Clara Peeters is a citizen of?,I don't know.,"75,000 to 100,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__252311_366220,No-RAG,2,2hop,Who founded the company that distributed the film UHF?,I don't know.,Mike Medavoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__53433_59035,No-RAG,2,2hop,The beautiful country used as a backdrop for the movie The Lord of the Rings was founded on what date?,I don't know.,6 February 1840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__765180_123956,No-RAG,2,2hop,When did the Battle at Choo Hoey's birthplace end?,I don't know.,15 February 1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__9930_21567,No-RAG,2,2hop,Who introduced a system of musical notation used in the region that has no mention in the 14th century?,I don't know.,John Kukuzelis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__310456_846599,No-RAG,2,2hop,Who is the child of the person who followed Tihomir of Serbia?,I don't know.,Saint Sava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__46550_85990,No-RAG,2,2hop,Who were the leaders of the opposition of the party that controlled the house of representatives in 2002?,I don't know.,"anti-slavery activists, modernizers, ex Whigs and ex Free Soilers",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
2hop__333020_69048,No-RAG,2,2hop,Who is the Chief Judge of the place where Orezi was born?,I don't know.,Honorable Justice Abiodun Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
